session_key,retention_seconds,l1_attempts_before_first_completion,l1_retries,l1_first_attempt_failed,l1_completed,l1_total_time,l1_first_attempt_total_time,l2_attempts_before_first_completion,l2_retries,l2_first_attempt_failed,l2_completed,l2_total_time,l2_first_attempt_total_time,l3_attempts_before_first_completion,l3_retries,l3_first_attempt_failed,l3_completed,l3_total_time,l3_first_attempt_total_time
fbef8d91-92a3-470b-9a1e-f934618b4bbb,5.8,,,,,,,,,,,,,,,,,,
a54d9175-625a-466c-a446-7b1ec6ae3d28,35.36,0.0,5.0,False,True,35.36,6.82,,,,,,,,,,,,
5198b443-e8fd-433e-b80f-21fc2f5d0078,,,,,,,,,,,,,,,,,,,
6a35a016-1453-4156-ad9a-249f09061a5b,93.22,0.0,0.0,False,True,17.95,17.95,1.0,2.0,True,True,31.270000000000003,3.1,0.0,2.0,False,True,44.0,17.54
7d62312f-4e08-418c-bee4-3d19f44b6c41,,,,,,,,,,,,,,,,,,,
0202932d-98e5-46cd-8dae-732947c97877,32.65,1.0,1.0,True,True,21.62,12.4,0.0,1.0,False,True,11.030000000000001,8.47,,,,,,
518649db-40ea-4fbb-91be-e60c1ff1240f,2.55,,,,,,,,,,,,,,,,,,
fdfa53ff-f426-46c4-984c-16ae59edcc19,,,,,,,,,,,,,,,,,,,
99328811-f655-40a4-9826-7c5b0669cede,14.07,0.0,0.0,False,True,14.07,14.07,,,,,,,,,,,,
a80f9634-3263-4e3a-ab27-38ebbc423afe,32.73,,,,,,,,,,,,,,,,,,
f0dbf22d-acad-4f23-9afc-80cc1622851a,128.87,1.0,5.0,True,True,47.86,3.29,2.0,7.0,True,True,81.01,10.31,,,,,,
b102d886-63f6-4297-929e-777d23cc222e,87.75,0.0,2.0,False,True,30.82,4.71,0.0,0.0,False,True,20.28,20.28,1.0,0.0,True,False,36.65,36.65
e67bbf99-7dc1-4b19-bb9f-872e461e87ad,199.7,0.0,8.0,False,True,33.21,3.27,0.0,0.0,False,True,7.81,7.81,0.0,0.0,False,True,6.83,6.83
d21d3a28-d338-4339-8aa1-8ac9a23ae129,,,,,,,,,,,,,,,,,,,
d0b835cb-0923-4915-922a-d76702fe2692,615.31,0.0,4.0,False,True,56.07,4.37,0.0,5.0,False,True,53.03,10.63,0.0,0.0,False,True,13.85,13.85
2f8f0ea3-def5-464a-b3c8-085f6912b433,128.82,0.0,8.0,False,True,37.13,4.22,0.0,0.0,False,True,7.57,7.57,0.0,1.0,False,True,9.48,6.96
2f1ef919-17e4-474d-bbb8-8e707beb5f66,585.81,0.0,15.0,False,True,132.86,6.49,2.0,55.0,True,True,279.37,2.36,1.0,2.0,True,True,31.23,6.35
2cc90640-e53f-474c-9af5-658356854a9c,405.57,0.0,1.0,False,True,115.23,28.61,0.0,0.0,False,True,26.05,26.05,0.0,0.0,False,True,25.66,25.66
846899c1-6cfa-48d7-ac68-435921abaf36,19.86,0.0,1.0,False,True,19.86,15.0,,,,,,,,,,,,
65fc4be2-5b35-4f23-a338-a692ab9557e6,17.85,,,,,,,,,,,,,,,,,,
1d4f602d-cacd-4bd1-8b9f-8ba2a782b52d,,,,,,,,,,,,,,,,,,,
4a3401e8-e37a-425a-902e-4447e11e340c,1649.27,0.0,29.0,False,True,144.67000000000002,3.05,5.0,95.0,True,True,306.91,1.05,7.0,38.0,True,True,163.96,6.3
6b39e452-e94f-43b1-87b1-686efe350e9c,,,,,,,,,,,,,,,,,,,
5f7366e2-12af-4ddf-a398-aa2542e3e981,25.36,,,,,,,,,,,,,0.0,0.0,False,True,5.69,5.69
cae67fbd-7ba0-4dd3-ac86-f53bd1d6ef2f,223.76000000000002,1.0,4.0,True,True,54.26,10.15,0.0,0.0,False,True,19.12,19.12,0.0,0.0,False,True,12.62,12.62
858a62d7-bc53-49ac-9ebd-b4e4ae9442a2,16.49,0.0,0.0,False,True,16.49,16.49,,,,,,,,,,,,
8f5d2c52-2426-4d47-9ccd-49dab1c6ec96,5.8,,,,,,,,,,,,,,,,,,
ba63b63d-88e1-4433-b29e-c8fa8068faa4,111.57,0.0,0.0,False,True,20.25,20.25,1.0,3.0,True,True,66.99,5.05,0.0,0.0,False,True,24.33,24.33
0381b92b-e07c-44e3-86f1-92dd005f7e8c,31.36,,,,,,,,,,,,,,,,,,
fdcd7e95-f190-42cf-9523-e7354d5e2fe3,100.98,0.0,0.0,False,True,2.15,2.15,0.0,0.0,False,True,3.35,3.35,2.0,5.0,True,True,8.57,0.9
7962f633-5fc0-43bb-b9d8-b900a6e09e2d,889.19,,,,,,,,,,,,,0.0,11.0,False,True,46.019999999999996,4.85
a5fa83a9-69b4-4133-bcd5-7c1ff3e6d491,,,,,,,,,,,,,,,,,,,
ce548630-07ec-485e-98ef-9c383dd4b93b,468.38,0.0,0.0,False,True,3.01,3.01,1.0,25.0,True,True,111.28,0.76,,,,,,
b5f74260-2da6-4f80-a351-de6c093230d4,,,,,,,,,,,,,,,,,,,
3064d794-1910-4beb-bca2-a3e7a20b3b3a,,,,,,,,,,,,,,,,,,,
c02bc252-3229-461a-a137-f353aed98281,226.38,0.0,0.0,False,True,18.46,18.46,0.0,0.0,False,True,13.8,13.8,0.0,0.0,False,True,10.84,10.84
c11c200c-881a-4b4e-aef9-8adc1d4ad8b5,5.9,,,,,,,,,,,,,,,,,,
4da92b8e-f9df-4e1a-b736-896fe28c568a,62.86,3.0,5.0,True,True,8.23,0.65,1.0,2.0,True,True,7.3100000000000005,1.1,0.0,1.0,False,True,5.34,3.0
cf309312-38be-4c4b-b368-c7d3d60a06b0,,,,,,,,,,,,,,,,,,,
fe98c768-1ac6-442c-bd0a-baa5a3e6c08a,140.53,0.0,2.0,False,True,7.699999999999999,2.3,0.0,1.0,False,True,7.75,3.95,0.0,0.0,False,True,3.3,3.3
a8f5d146-c1a9-451d-be83-d50329a3062c,,,,,,,,,,,,,,,,,,,
b9dff1a9-f5ef-42d3-bf50-a5589af99169,,,,,,,,,,,,,,,,,,,
9c63d246-9d2d-4ddf-92e1-bb0a5567da0d,81.69,0.0,29.0,False,True,81.69,2.98,,,,,,,,,,,,
9ea22e53-5c27-4ebc-9f67-990b9a920784,86.46,1.0,2.0,True,True,81.27,31.4,1.0,0.0,True,False,5.19,5.19,,,,,,
70f1ecb2-8723-43b5-8e29-468f322af7a3,78.65,0.0,0.0,False,True,3.35,3.35,0.0,0.0,False,True,4.4,4.4,0.0,0.0,False,True,4.35,4.35
cc21faeb-fb43-4934-9d21-e0493416ad62,50.98,0.0,4.0,False,True,24.73,4.77,0.0,1.0,False,True,26.25,17.59,,,,,,
6777eed3-3a7f-4f20-af9e-c580e4444f0a,8.45,,,,,,,,,,,,,,,,,,
d500fae2-df4e-4bcc-bd99-9be774fe7385,19.93,0.0,0.0,False,True,13.94,13.94,0.0,0.0,False,True,5.99,5.99,,,,,,
9dc4c821-1a15-4554-bf42-becaa2cf176f,,,,,,,,,,,,,,,,,,,
