created_at,total_playtime_seconds,updated_at,user_id,id,timezone,last_event_type,release_channel,page_path,game_version,started_at,session_id,site_host,quit_inferred,last_activity_at,player_id,ip_address,user_agent,last_level_completed,current_level_started_at,session_state,language,current_level_number,end_reason,quit_reason,ended_at,session_elapsed_seconds
2026-02-21T06:23:23.576000+00:00,72.63,2026-02-23T22:24:48.897000+00:00,rytqR4atUtet1qhxImZUY2Q3Twq1,0NojhHcqbsrwr8atxkmQ,America/Los_Angeles,quit_reason,github-pages,/memory-game/,2026.02.21,2026-02-21T06:23:23.576000+00:00,fbef8d91-92a3-470b-9a1e-f934618b4bbb,mrlint01.github.io,False,2026-02-23T22:24:48.829000+00:00,08efffc0-3104-4ad3-b8ca-858b89c12b6e,71.212.133.117,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",30.0,2026-02-21T06:23:29.690000+00:00,ended,en-US,,beforeunload,inactivity_timeout,2026-02-23T22:24:48.897000+00:00,230486.12
2026-02-23T02:04:45.951000+00:00,175.23,2026-02-23T02:07:39.100000+00:00,71Hw0KD5HVTN08tQAcKjQvQYb9U2,1Tik7ZNvf3J8ajMAKIdd,America/Vancouver,quit_reason,github-pages,/memory-game/,2026.02.21,2026-02-23T02:04:45.951000+00:00,a54d9175-625a-466c-a446-7b1ec6ae3d28,mrlint01.github.io,False,2026-02-23T02:07:39.046000+00:00,695df8dc-52c3-46ed-9b0d-c7e25df56f67,98.232.34.224,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:147.0) Gecko/20100101 Firefox/147.0,1.0,2026-02-23T02:07:33.077000+00:00,ended,en-US,,beforeunload,,2026-02-23T02:07:39.100000+00:00,175.23
2026-02-24T06:47:22.369000+00:00,67.0,2026-02-24T19:33:28.009000+00:00,rytqR4atUtet1qhxImZUY2Q3Twq1,1pnrxbo6PTaGphPlsHQN,America/Los_Angeles,page_hide,github-pages,/memory-game/,2026.02.21,2026-02-24T06:47:22.369000+00:00,5198b443-e8fd-433e-b80f-21fc2f5d0078,mrlint01.github.io,False,2026-02-24T19:33:28.009000+00:00,08efffc0-3104-4ad3-b8ca-858b89c12b6e,71.212.133.117,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",0.0,,ended,en-US,,beforeunload,inactivity_timeout,2026-02-24T19:33:27.377000+00:00,45965.74
2026-02-25T00:02:47.919000+00:00,63.43,2026-02-25T00:32:53.905000+00:00,rytqR4atUtet1qhxImZUY2Q3Twq1,3RbmoFA1xVl0sNBMk4UF,America/Los_Angeles,before_unload,github-pages,/memory-game/,2026.02.21,2026-02-25T00:02:47.919000+00:00,9986d172-b0c5-4835-a5ce-ec484adc6196,mrlint01.github.io,False,2026-02-25T00:32:53.856000+00:00,08efffc0-3104-4ad3-b8ca-858b89c12b6e,205.175.106.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",0.0,,ended,en-US,,beforeunload,inactivity_timeout,2026-02-25T00:32:53.905000+00:00,1807.33
2026-02-25T00:56:13.893000+00:00,126.5,2026-02-25T01:13:12.568000+00:00,rytqR4atUtet1qhxImZUY2Q3Twq1,54lh5eSGQisIHZOsqlrq,America/Los_Angeles,before_unload,github-pages,/memory-game/,2026.02.21,2026-02-25T00:56:13.893000+00:00,35778e5e-0cfd-48df-bc94-a164af0f4fb5,mrlint01.github.io,False,2026-02-25T01:13:12.513000+00:00,08efffc0-3104-4ad3-b8ca-858b89c12b6e,205.175.106.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",0.0,,ended,en-US,,beforeunload,inactivity_timeout,2026-02-25T01:13:12.568000+00:00,1019.22
2026-02-24T02:55:22.388000+00:00,273.93,2026-02-25T09:15:41.579000+00:00,iXvmH05NeeTTinHDk4ZCRV14jLK2,6XuGc7WBZEsoSy0vXW5z,America/Los_Angeles,quit_reason,github-pages,/memory-game/,2026.02.21,2026-02-24T02:55:22.388000+00:00,6a35a016-1453-4156-ad9a-249f09061a5b,mrlint01.github.io,False,2026-02-25T09:15:41.506000+00:00,2cd2aecd-e8c4-4e9b-b925-eef465fdbe77,67.168.91.87,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0,3.0,2026-02-24T03:04:27.235000+00:00,ended,en-US,,beforeunload,inactivity_timeout,2026-02-25T09:15:41.579000+00:00,109221.52
2026-02-25T22:20:31.221000+00:00,946.64,2026-02-25T22:44:46.034000+00:00,kWPeN6ypLPd7NjlH4o6kalMcxet1,6altEX5pKu2pasf0eIb2,America/Los_Angeles,quit_reason,github-pages,/memory-game/,2026.02.21,2026-02-25T22:20:31.221000+00:00,276ecdad-abfa-45e2-acf6-9ae03aca4749,mrlint01.github.io,True,2026-02-25T22:39:46.393000+00:00,e6f61171-46ef-463e-a994-7b3f92d2c7fa,205.175.118.119,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",17.0,2026-02-25T22:33:34.678000+00:00,active,en-US,,,inactivity_timeout,,
2026-02-24T20:24:42.345000+00:00,501.2,2026-02-24T21:31:21.193000+00:00,rytqR4atUtet1qhxImZUY2Q3Twq1,89mkOiJFq5G5tGTFvBaM,America/Los_Angeles,before_unload,github-pages,/memory-game/,2026.02.21,2026-02-24T20:24:42.345000+00:00,7d62312f-4e08-418c-bee4-3d19f44b6c41,mrlint01.github.io,False,2026-02-24T21:31:21.141000+00:00,08efffc0-3104-4ad3-b8ca-858b89c12b6e,205.175.106.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",12.0,2026-02-24T20:48:13.789000+00:00,ended,en-US,,beforeunload,,2026-02-24T21:31:21.193000+00:00,3999.47
2026-02-23T03:30:24.279000+00:00,122.16,2026-02-23T04:43:50.968000+00:00,b4Vv0jl6bRbo6O0uTpi0N0EzhGF3,9oO0Qz7km18KuvnGCBM6,America/Los_Angeles,quit_reason,github-pages,/memory-game/,2026.02.21,2026-02-23T03:30:24.279000+00:00,0202932d-98e5-46cd-8dae-732947c97877,mrlint01.github.io,False,2026-02-23T04:43:50.941000+00:00,1c94366a-076c-47da-a525-6e392742c894,99.90.79.118,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",2.0,2026-02-23T03:31:14.425000+00:00,ended,en-US,,beforeunload,inactivity_timeout,2026-02-23T04:43:50.968000+00:00,4408.36
2026-02-22T05:13:12.785000+00:00,147.33,2026-02-22T05:45:41.215000+00:00,rytqR4atUtet1qhxImZUY2Q3Twq1,AfSYXMn0YzoqdxGPHTgE,America/Los_Angeles,before_unload,github-pages,/memory-game/,2026.02.21,2026-02-22T05:13:12.785000+00:00,518649db-40ea-4fbb-91be-e60c1ff1240f,mrlint01.github.io,False,2026-02-22T05:45:41.159000+00:00,08efffc0-3104-4ad3-b8ca-858b89c12b6e,71.212.133.117,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",5.0,2026-02-22T05:13:17.713000+00:00,ended,en-US,,beforeunload,,2026-02-22T05:45:41.215000+00:00,1949.25
