adaptive_group,minute,percent_all_players
A,0,14.814814814814813
A,1,0.0
A,2,0.0
A,3,0.0
A,4,0.0
A,5,0.0
A,6,0.0
A,7,0.0
A,8,0.0
A,9,0.0
A,10,0.0
A,11,0.0
A,12,0.0
A,13,0.0
A,14,0.0
A,15,0.0
A,16,0.0
A,17,0.0
A,18,0.0
A,19,0.0
A,20,0.0
A,21,0.0
A,22,0.0
A,23,0.0
A,24,0.0
A,25,0.0
A,26,0.0
A,27,0.0
A,28,0.0
A,29,0.0
A,30,0.0
B,0,70.37037037037037
B,1,62.96296296296296
B,2,44.44444444444444
B,3,37.03703703703704
B,4,33.33333333333333
B,5,29.629629629629626
B,6,22.22222222222222
B,7,22.22222222222222
B,8,18.51851851851852
B,9,11.11111111111111
B,10,11.11111111111111
B,11,11.11111111111111
B,12,11.11111111111111
B,13,11.11111111111111
B,14,11.11111111111111
B,15,11.11111111111111
B,16,11.11111111111111
B,17,11.11111111111111
B,18,11.11111111111111
B,19,11.11111111111111
B,20,11.11111111111111
B,21,11.11111111111111
B,22,11.11111111111111
B,23,7.4074074074074066
B,24,7.4074074074074066
B,25,7.4074074074074066
B,26,7.4074074074074066
B,27,7.4074074074074066
B,28,3.7037037037037033
B,29,3.7037037037037033
B,30,0.0
unassigned,0,14.814814814814813
unassigned,1,0.0
unassigned,2,0.0
unassigned,3,0.0
unassigned,4,0.0
unassigned,5,0.0
unassigned,6,0.0
unassigned,7,0.0
unassigned,8,0.0
unassigned,9,0.0
unassigned,10,0.0
unassigned,11,0.0
unassigned,12,0.0
unassigned,13,0.0
unassigned,14,0.0
unassigned,15,0.0
unassigned,16,0.0
unassigned,17,0.0
unassigned,18,0.0
unassigned,19,0.0
unassigned,20,0.0
unassigned,21,0.0
unassigned,22,0.0
unassigned,23,0.0
unassigned,24,0.0
unassigned,25,0.0
unassigned,26,0.0
unassigned,27,0.0
unassigned,28,0.0
unassigned,29,0.0
unassigned,30,0.0
