feature,pearson_corr_with_retention,pearson_ci_low_95,pearson_ci_high_95,n
l1_attempts_before_first_completion,0.5549624140171824,-0.26848849707409467,0.8803621422317277,26
l2_attempts_before_first_completion,0.426242713983064,-0.06345943208114516,0.8428269785455983,19
l2_failed_first_attempt,0.29709663192877833,-0.16371064001094043,0.633996721375736,19
l2_first_attempt_succeeded,-0.2970966319287782,-0.6354030872728159,0.16798716184594867,19
l1_failed_first_attempt,0.27335157801205284,-0.3094868919696477,0.6790168024066324,26
l1_first_attempt_succeeded,-0.2733515780120528,-0.657304973893378,0.30470198492302886,26
l2_first_attempt_time,-0.19577350696298246,-0.4557925822875217,0.19089573990210368,19
l1_first_attempt_time,-0.11126172874764659,-0.43012786622415006,0.3588082448095733,26
l3_first_attempt_time,-0.08189754456992854,-0.38632657729607556,0.3050615908928579,17
l3_first_attempt_succeeded,0.02431473908319118,-0.4257410150908859,0.19104517431076387,17
l3_failed_first_attempt,-0.024314739083191164,-0.19984033088487174,0.3193346775854098,17
l3_attempts_before_first_completion,0.002528649697343906,-0.16004478602533634,0.4957792322425559,17
