adaptive_group,minute,percent
A,0,100.0
A,1,71.42857142857143
A,2,35.714285714285715
A,3,14.285714285714285
A,4,7.142857142857142
A,5,7.142857142857142
A,6,7.142857142857142
A,7,7.142857142857142
A,8,7.142857142857142
A,9,0.0
A,10,0.0
A,11,0.0
A,12,0.0
A,13,0.0
A,14,0.0
A,15,0.0
A,16,0.0
A,17,0.0
A,18,0.0
A,19,0.0
A,20,0.0
A,21,0.0
A,22,0.0
A,23,0.0
A,24,0.0
A,25,0.0
A,26,0.0
A,27,0.0
A,28,0.0
A,29,0.0
A,30,0.0
A,31,0.0
A,32,0.0
A,33,0.0
B,0,100.0
B,1,51.28205128205128
B,2,30.76923076923077
B,3,23.076923076923077
B,4,15.384615384615385
B,5,7.6923076923076925
B,6,7.6923076923076925
B,7,7.6923076923076925
B,8,5.128205128205128
B,9,5.128205128205128
B,10,5.128205128205128
B,11,5.128205128205128
B,12,5.128205128205128
B,13,5.128205128205128
B,14,5.128205128205128
B,15,5.128205128205128
B,16,5.128205128205128
B,17,5.128205128205128
B,18,5.128205128205128
B,19,5.128205128205128
B,20,5.128205128205128
B,21,2.564102564102564
B,22,2.564102564102564
B,23,2.564102564102564
B,24,2.564102564102564
B,25,2.564102564102564
B,26,2.564102564102564
B,27,2.564102564102564
B,28,2.564102564102564
B,29,2.564102564102564
B,30,2.564102564102564
B,31,2.564102564102564
B,32,2.564102564102564
B,33,0.0
unassigned,0,100.0
unassigned,1,0.0
unassigned,2,0.0
unassigned,3,0.0
unassigned,4,0.0
unassigned,5,0.0
unassigned,6,0.0
unassigned,7,0.0
unassigned,8,0.0
unassigned,9,0.0
unassigned,10,0.0
unassigned,11,0.0
unassigned,12,0.0
unassigned,13,0.0
unassigned,14,0.0
unassigned,15,0.0
unassigned,16,0.0
unassigned,17,0.0
unassigned,18,0.0
unassigned,19,0.0
unassigned,20,0.0
unassigned,21,0.0
unassigned,22,0.0
unassigned,23,0.0
unassigned,24,0.0
unassigned,25,0.0
unassigned,26,0.0
unassigned,27,0.0
unassigned,28,0.0
unassigned,29,0.0
unassigned,30,0.0
unassigned,31,0.0
unassigned,32,0.0
unassigned,33,0.0
