level_number,card_type,count
1,numbers,164
2,letters,43
3,shapes,47
4,directions,23
5,letters,9
5,numbers,8
5,shapes,7
6,colors,17
7,letters,10
7,numbers,7
8,numbers,12
9,numbers,3
10,numbers,3
11,letters,8
11,numbers,6
11,shapes,3
12,directions,9
12,letters,8
12,numbers,10
12,shapes,10
13,directions,4
13,letters,3
13,numbers,4
14,colors,6
14,directions,3
14,letters,2
14,numbers,7
14,shapes,5
15,colors,13
16,colors,25
17,colors,1
18,colors,21
18,letters,5
18,numbers,2
18,shapes,2
19,diagonal,3
20,colors,3
20,letters,1
20,numbers,2
20,shapes,1
21,colors,3
21,diagonal,3
21,letters,1
22,numbers,9
23,colors,10
24,colors,4
25,colors,17
26,directions,14
27,diagonal,4
27,directions,6
28,diagonal,4
28,directions,3
29,colors,3
29,directions,1
29,numbers,1
31,diagonal,2
31,letters,1
31,numbers,4
31,shapes,2
32,directions,3
33,colors,5
34,letters,17
34,numbers,11
35,directions,3
35,letters,25
35,numbers,25
35,shapes,1
36,colors,15
37,diagonal,1
37,letters,1
37,numbers,1
38,numbers,4
40,letters,2
40,numbers,4
41,diagonal,1
41,directions,4
41,letters,3
41,numbers,4
42,numbers,7
45,directions,1
45,numbers,1
47,numbers,18
48,numbers,149
50,numbers,10
51,directions,1
51,numbers,1
51,shapes,1
52,diagonal,2
